"TYP","Type of Volume","MEA","Measure","BEVT","Beverage Type","SUB","Beverage Subtype/Strength","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2014","2014",184563,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2015","2015",182728,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2016","2016",189087,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2000","2000",9.99,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2001","2001",10.22,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2002","2002",10.01,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2003","2003",10.44,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2004","2004",10.32,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2005","2005",10.49,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2006","2006",10.5,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2007","2007",10.76,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2008","2008",10.75,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2009","2009",10.63,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2010","2010",10.53,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2011","2011",10.29,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2012","2012",10.04,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2013","2013",9.9,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2014","2014",9.76,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2015","2015",9.52,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","4","Total all beverages","14","Total all beverages","A","Annual","2016","2016",9.7,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2005","2005",1171,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2006","2006",1191,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2007","2007",1066,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2008","2008",1087,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2009","2009",1644,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2010","2010",2208,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2011","2011",2731,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2012","2012",3063,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2013","2013",4140,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2014","2014",5027,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2015","2015",6008,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","5","Cider","15","Cider","A","Annual","2016","2016",7273,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2005","2005",0.07,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2006","2006",0.07,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2007","2007",0.06,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2008","2008",0.06,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2009","2009",0.09,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2010","2010",0.12,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2011","2011",0.15,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2012","2012",0.17,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2013","2013",0.22,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2014","2014",0.27,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2015","2015",0.31,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","5","Cider","15","Cider","A","Annual","2016","2016",0.37,,
